monomer_ID,smiles,density,self-diffusion,Cp,bulk_modulus,linear_expansion,refractive_index,thermal_conductivity
PI150,*C(C*)c1ccc(cc1)COCCCC,0,0,0,0,0,0,0
PI151,*C(C*)c1ccc(cc1)COCCCCO,0,0,0,0,0,0,0
PI152,*C(C*)c1ccc(cc1)COC(CC)C,0,0,0,0,0,0,0
PI153,*C(C*)c1ccc(cc1)COCCCCCC,0,0,0,0,0,0,0
PI154,*C(C*)c1ccc(cc1)COCCOCCCC,0,0,0,0,0,0,0
PI155,*C(C*)c1ccc(cc1)C(=O)N(C)C,0,0,0,0,0,0,0
PI156,*C(C*)c1ccc(cc1)C(=O)N(CC)CC,0,0,0,0,0,0,0
PI157,*C(C*)c1ccc(cc1)C(=O)N1CCCCC1,0,0,0,0,0,0,0
PI158,*C(C*)c1ccc(cc1)C(=O)CCN1CCCCC1,0,0,0,0,0,0,0
PI159,*C(C*)c1ccc(cc1)C(=O)N1CCOCC1,0,0,0,0,0,0,0
PI160,*C(C*)c1ccc(cc1)C(=O)OC,0,0,0,0,0,0,0
PI161,*C(C*)c1ccc(cc1)C(=O)OCC,0,0,0,0,0,0,0
PI162,*C(C*)c1ccc(cc1)C(=O)OCCC,0,0,0,0,0,0,0
PI163,*C(C*)c1ccc(cc1)C(=O)OC(C)C,0,0,0,0,0,0,0
PI164,*C(C*)c1ccc(cc1)C(=O)OCCCC,0,0,0,0,0,0,0
PI165,*C(C*)c1ccc(cc1)C(=O)OCC(C)C,0,0,0,0,0,0,0
PI166,*C(C*)c1ccc(cc1)C(=O)OCCCCCC,0,0,0,0,0,0,0
PI167,*C(C*)c1ccc(cc1)C(=O)CC,0,0,0,0,0,0,0
PI168,*C(C*)c1ccc(cc1)C(=O)CCC,0,0,0,0,0,0,0
PI169,*C(C*)c1ccc(cc1)C(=O)CCCC,0,0,0,0,0,0,0
PI170,*C(C*)c1ccc(cc1)C(=O)CCCCC,0,0,0,0,0,0,0
PI171,*C(C*)c1ccc(cc1)C(=O)CCCCCCC,0,0,0,0,0,0,0
PI172,*C(C*)c1ccc(cc1)C(=O)Cc1ccccc1,0,0,0,0,0,0,0
PI173,*C(C*)c1ccc(cc1)C(=O)c1ccccc1,0,0,0,0,0,0,0
PI174,*C(C*)c1ccc(cc1)C(=O)c1ccc(cc1)C,0,0,0,0,0,0,0
PI175,*C(C*)c1ccc(cc1)F,0,0,0,0,0,0,0
PI176,*C(C*)c1ccc(cc1)I,0,0,0,0,0,0,0
PI177,*C(C*)c1ccc(cc1)N(C)C,0,0,0,0,0,0,0
PI178,*C(C*)c1ccc(cc1)OC,0,0,0,0,0,0,0
PI179,*C(C*)c1ccc(cc1)OCC,0,0,0,0,0,0,0
PI180,*C(C*)c1ccc(cc1)OCCC,0,0,0,0,0,0,0
PI181,*C(C*)c1ccc(cc1)OCCCC,0,0,0,0,0,0,0
PI182,*C(C*)c1ccc(cc1)OCCC(C)C,0,0,0,0,0,0,0
PI183,*C(C*)c1ccc(cc1)Oc1ccccc1,0,0,0,0,0,0,0
PI184,*C(C*)c1ccc(cc1)c1ccc(cc1)c1ccccc1,0,0,0,0,0,0,0
PI185,*C(C*)c1ccc(cc1)S(=O)(=O)OCCC,0,0,0,0,0,0,0
PI186,*C(C*)c1c(cccc1Cl)Cl,0,0,0,0,0,0,0
PI187,*C(C*)c1c(cc(cc1)C)C,0,0,0,0,0,0,0
PI188,*C(C*)c1c(cc(cc1)C(C)C)C(C)C,0,0,0,0,0,0,0
PI189,*C(C*)c1c(cc(cc1)F)C,0,0,0,0,0,0,0
PI190,*C(C*)c1c(cc(cc1)Cl)C,0,0,0,0,0,0,0
PI191,*C(C*)c1c(cc(cc1)Cl)Cl,0,0,0,0,0,0,0
PI192,*C(C*)c1c(ccc(c1)C)C,0,0,0,0,0,0,0
PI193,*C(C*)c1c(ccc(c1)C(C)(C)C)C,0,0,0,0,0,0,0
PI194,*C(C*)c1c(ccc(c1)C(C)C)C(C)C,0,0,0,0,0,0,0
PI195,*C(C*)c1c(ccc(c1)Cl)Cl,0,0,0,0,0,0,0
PI196,*C(C*)c1c(ccc(c1)F)F,0,0,0,0,0,0,0
PI197,*C(C*)c1c(ccc(c1)C)F,0,0,0,0,0,0,0
PI198,*C(C*)c1c(ccc(c1)Br)OCCCC,0,0,0,0,0,0,0
PI199,*C(C*)c1c(ccc(c1)Br)OCC,0,0,0,0,0,0,0
PI200,*C(C*)c1c(ccc(c1)Br)OC,0,0,0,0,0,0,0
PI201,*C(C*)c1c(ccc(c1)Br)OCCC,0,0,0,0,0,0,0
PI202,*C(C*)c1c(ccc(c1)Br)OC(C)C,0,0,0,0,0,0,0
PI203,*C(C*)c1c(ccc(c1)Br)OCCCCC,0,0,0,0,0,0,0
PI204,*C(C*)c1c(ccc(c1)Br)OCCC(C)C,0,0,0,0,0,0,0
PI205,*C(C*)c1cc(cc(c1)C)C,0,0,0,0,0,0,0
PI206,*C(C*)c1cc(c(cc1)C)C,0,0,0,0,0,0,0
PI207,*C(C*)c1cc(c(cc1)Cl)C,0,0,0,0,0,0,0
PI208,*C(C*)c1cc(c(cc1)Cl)Cl,0,0,0,0,0,0,0
PI209,*C(C*)c1cc(c(cc1)Cl)F,0,0,0,0,0,0,0
PI210,*C(C*)c1c(cc(cc1C)C)C,0,0,0,0,0,0,0
PI211,*C(C*)c1c(cc(c(c1)C)C)C,0,0,0,0,0,0,0
PI212,*C(C*)c1c(c(c(c(c1F)F)F)F)F,0,0,0,0,0,0,0
PI213,*C(C*)(c1ccccc1)C,0,0,0,0,0,0,0
PI214,*C(C*)(c1ccc(cc1)C(C)C)C,0,0,0,0,0,0,0
PI215,*C(C(*)(F)F)(c1ccccc1)F,0,0,0,0,0,0,0
PI216,*C(C(*)(F)F)(c1c(c(c(c(c1F)F)F)F)F)F,0,0,0,0,0,0,0
PI217,*C(C*)c1c2c(ccc1)cccc2,0,0,0,0,0,0,0
PI218,*C(C*)c1ccc(cc1)C(=O)C,0,0,0,0,0,0,0
PI219,*C(C*)c1ccc(cc1)C(=O)CCN1CCOCC1,0,0,0,0,0,0,0
PI220,*C(C*)(C(=O)OC)c1ccccc1,0,0,0,0,0,0,0
PI221,*C(C*)(c1ccc(cc1)C)C,0,0,0,0,0,0,0
PI222,*C(C(*)c1ccccc1)[N+](=O)[O-],0,0,0,0,0,0,0
PI223,*C(C*)c1ccc(cc1)C(=O)C(F)(F)F,0,0,0,0,0,0,0
PI224,*C(C*)c1ccc(cc1)C(=O)c1ccc(cc1)OC,0,0,0,0,0,0,0
PI225,*C(C*)c1cc2c(cc1)cccc2,0,0,0,0,0,0,0
PI226,*C(C*)c1ccncc1,0,0,0,0,0,0,0
PI227,*C(C*)c1nc(ccc1)C,0,0,0,0,0,0,0
PI228,*C(C*)c1ccc(nc1)C,0,0,0,0,0,0,0
PI229,*C(C*)N1Nc2c(C1)cccc2,0,0,0,0,0,0,0
PI230,*C(C(C(C*)c1ncccc1)c1ccccc1)c1ncccc1,0,0,0,0,0,0,0
PI231,*C(C*)c1ccc(cc1)O,0,0,0,0,0,0,0
PI232,*C(C*)c1ccc(cc1)OC(=O)C,0,0,0,0,0,0,0
PI233,*C(C*)c1ccc(cc1)CCC,0,0,0,0,0,0,0
PI234,*C(C*)c1ccc(cc1)COCCCCCCOc1ccc(cc1)c1ccc(cc1)OC,0,0,0,0,0,0,0
PI235,*C(C*)c1ccc(cc1)COCC(CCCC)CC,0,0,0,0,0,0,0
PI236,*C(C*)c1ccc(cc1)COCCOCCCCCCCC,0,0,0,0,0,0,0
PI237,*C(C*)c1ccc(cc1)C(C(C(C(C(C(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,0,0,0,0,0,0,0
PI238,*C(CC(C*)c1ccccc1)(C(=O)OC)C#N,0,0,0,0,0,0,0
PI239,*C(C*)c1cc(c(cc1)C(=O)O)C(=O)O,0,0,0,0,0,0,0
PI240,*C(C(*)(c1c(c(c(c(c1[2H])[2H])[2H])[2H])[2H])[2H])([2H])[2H],0,0,0,0,0,0,0
