monomer_ID,smiles,density,self-diffusion,Cp,bulk_modulus,linear_expansion,refractive_index,thermal_conductivity,polymer_class
PI411,*C(C*)C(=O)OC,1.129183952,4.57e-13,3178.200224,3309273117.0,0.000123655,1.460085865,0.249473618,4
PI412,*C(C*)C(=O)OCC,1.064568208,4.87e-13,3355.376705,2914355859.0,0.000145872,1.454803349,0.261966182,4
PI413,*C(C*)C(=O)OCCC,1.030160522,9.45e-13,3569.573438,2206494604.0,0.00020659,1.452141043,0.245170112,4
PI414,*C(C*)C(=O)OC(C)C,1.018190946,1.16e-12,3585.902483,2380634223.0,0.000140581,1.446654454,0.251403563,4
PI415,*C(C*)C(=O)OCCCC,1.001402306,1.43e-12,3891.284197,2235726690.0,0.000223393,1.450290219,0.255094023,4
PI416,*C(C*)C(=O)OCC(C)C,0.997194883,8.71e-13,3648.053994,2819254261.0,0.00013183,1.446538286,0.241958713,4
PI418,*C(C*)C(=O)OC(C)(C)C,0.971035325,9.51e-13,3639.002148,2285800834.0,0.000137231,1.431897504,0.228960032,4
PI419,*C(C*)C(=O)OCCCCCC,0.963879959,1.55e-12,3989.809204,2398364056.0,0.000191021,1.446510084,0.259092425,4
PI420,*C(C*)C(=O)OCCCCCCC,0.948837806,1.57e-12,3918.208993,2433889487.0,0.000180509,1.44422107,0.258296751,4
PI421,*C(C*)C(=O)OCCCCCCCC,0.942140506,1.43e-12,3963.381938,2337797654.0,0.000181337,1.454028734,0.283339543,4
PI422,*C(C*)C(=O)OCCCCCCCCCCCC,0.913403657,1.52e-12,4282.098505,2479269925.0,0.000187176,1.454778475,0.309141226,4
PI423,*C(C*)C(=O)OCCCCCCCCCCCCCC,0.905452429,1.54e-12,4250.896528,2460959896.0,0.000185297,1.449647535,0.313712263,4
PI424,*C(C*)C(=O)OCCCCCCCCCCCCCCCC,0.898806002,1.63e-12,4265.19058,2408547463.0,0.000187338,1.454000636,0.333661973,4
